Time (GMT): 	 Temp (deg C) 	 Humidity (%) 
Sun, 21 Mar 2021 22:56:46 GMT	17.90	63.00
Sun, 21 Mar 2021 22:56:56 GMT	18.00	59.70
Sun, 21 Mar 2021 22:57:06 GMT	17.90	61.00
Sun, 21 Mar 2021 22:57:16 GMT	17.90	64.30
Sun, 21 Mar 2021 22:57:26 GMT	17.90	72.80
Sun, 21 Mar 2021 22:57:36 GMT	17.90	56.80
Sun, 21 Mar 2021 22:57:46 GMT	17.90	69.70
Sun, 21 Mar 2021 22:57:56 GMT	17.80	67.20
Sun, 21 Mar 2021 22:58:06 GMT	17.80	54.50
Sun, 21 Mar 2021 22:58:16 GMT	17.80	66.30
Sun, 21 Mar 2021 22:58:26 GMT	17.80	61.50
Sun, 21 Mar 2021 22:58:36 GMT	17.80	61.70
Sun, 21 Mar 2021 22:58:46 GMT	17.80	83.20
Sun, 21 Mar 2021 22:58:56 GMT	17.80	60.60
Sun, 21 Mar 2021 22:59:06 GMT	17.80	73.70
Sun, 21 Mar 2021 22:59:16 GMT	17.80	68.50
Sun, 21 Mar 2021 22:59:26 GMT	17.80	66.10
 Sun, 21 Mar 2021 22:59:36 GMT	17.80	76.50
Sun, 21 Mar 2021 22:59:46 GMT	17.80	47.90
Sun, 21 Mar 2021 22:59:56 GMT	17.70	77.60
Sun, 21 Mar 2021 23:00:06 GMT	17.70	61.50
Sun, 21 Mar 2021 23:00:16 GMT	17.80	63.70
Sun, 21 Mar 2021 23:00:26 GMT	17.70	70.00
Sun, 21 Mar 2021 23:00:36 GMT	17.70	81.30
Sun, 21 Mar 2021 23:00:46 GMT	17.70	78.40
Sun, 21 Mar 2021 23:00:56 GMT	17.70	64.40
Sun, 21 Mar 2021 23:01:06 GMT	17.70	63.40
Sun, 21 Mar 2021 23:01:16 GMT	17.70	68.70
Sun, 21 Mar 2021 23:01:26 GMT	17.70	54.80
Sun, 21 Mar 2021 23:01:36 GMT	17.70	78.20
Sun, 21 Mar 2021 23:01:46 GMT	17.70	77.70
Sun, 21 Mar 2021 23:01:56 GMT	17.70	61.70
Sun, 21 Mar 2021 23:02:06 GMT	17.70	70.70
Sun, 21 Mar 2021 23:02:16 GMT	17.60	64.30
Sun, 21 Mar 2021 23:02:26 GMT	17.70	51.00
Sun, 21 Mar 2021 23:02:36 GMT	17.60	45.40
Sun, 21 Mar 2021 23:02:46 GMT	17.60	47.70
Sun, 21 Mar 2021 23:02:56 GMT	17.60	63.10
Sun, 21 Mar 2021 23:03:06 GMT	17.60	52.00
Sun, 21 Mar 2021 23:03:16 GMT	17.60	54.10
Sun, 21 Mar 2021 23:03:26 GMT	17.60	46.10
Sun, 21 Mar 2021 23:03:36 GMT	17.60	41.80
Sun, 21 Mar 2021 23:03:46 GMT	17.60	40.50
Sun, 21 Mar 2021 23:03:56 GMT	17.70	40.40
Sun, 21 Mar 2021 23:04:06 GMT	17.60	39.60
Sun, 21 Mar 2021 23:04:16 GMT	17.70	43.40
Sun, 21 Mar 2021 23:04:26 GMT	17.70	43.80
Sun, 21 Mar 2021 23:04:36 GMT	17.60	37.90
Sun, 21 Mar 2021 23:04:46 GMT	17.60	35.60
Sun, 21 Mar 2021 23:04:56 GMT	17.60	35.20
Sun, 21 Mar 2021 23:05:06 GMT	17.70	37.00
Sun, 21 Mar 2021 23:05:16 GMT	17.70	37.40
Sun, 21 Mar 2021 23:05:26 GMT	17.60	41.40
Sun, 21 Mar 2021 23:05:36 GMT	17.70	37.80
Sun, 21 Mar 2021 23:05:46 GMT	17.70	42.90
Sun, 21 Mar 2021 23:05:56 GMT	17.60	49.50
Sun, 21 Mar 2021 23:06:06 GMT	17.60	51.80
Sun, 21 Mar 2021 23:06:16 GMT	17.70	54.10
Sun, 21 Mar 2021 23:06:26 GMT	17.70	56.20
Sun, 21 Mar 2021 23:06:36 GMT	17.60	57.40
Sun, 21 Mar 2021 23:06:46 GMT	17.60	58.30
Sun, 21 Mar 2021 23:06:56 GMT	17.60	56.80
Sun, 21 Mar 2021 23:07:06 GMT	17.60	56.20
Sun, 21 Mar 2021 23:07:16 GMT	17.70	57.40
Sun, 21 Mar 2021 23:07:26 GMT	17.60	55.40
Sun, 21 Mar 2021 23:07:36 GMT	17.60	49.00
Sun, 21 Mar 2021 23:07:46 GMT	17.60	55.80
Sun, 21 Mar 2021 23:07:56 GMT	17.60	46.50
Sun, 21 Mar 2021 23:08:06 GMT	17.60	42.00
Sun, 21 Mar 2021 23:08:16 GMT	17.60	41.80
Sun, 21 Mar 2021 23:08:26 GMT	17.60	40.50
Sun, 21 Mar 2021 23:08:36 GMT	17.60	39.50
Sun, 21 Mar 2021 23:08:46 GMT	17.60	44.00
Sun, 21 Mar 2021 23:08:56 GMT	17.50	50.60
Sun, 21 Mar 2021 23:09:06 GMT	17.60	47.10
Sun, 21 Mar 2021 23:09:16 GMT	17.50	52.60
Sun, 21 Mar 2021 23:09:26 GMT	17.50	46.10
Sun, 21 Mar 2021 23:09:36 GMT	17.50	48.90
Sun, 21 Mar 2021 23:09:46 GMT	17.50	56.30
Sun, 21 Mar 2021 23:09:56 GMT	17.50	62.00
Sun, 21 Mar 2021 23:10:06 GMT	17.50	48.60
Sun, 21 Mar 2021 23:10:16 GMT	17.50	45.60
Sun, 21 Mar 2021 23:10:26 GMT	17.50	51.00
Sun, 21 Mar 2021 23:10:36 GMT	17.50	56.20
Sun, 21 Mar 2021 23:10:46 GMT	17.50	63.00
Sun, 21 Mar 2021 23:10:56 GMT	17.40	53.50
Sun, 21 Mar 2021 23:11:06 GMT	17.50	55.80
Sun, 21 Mar 2021 23:11:16 GMT	17.40	46.60
Sun, 21 Mar 2021 23:11:26 GMT	17.40	43.60
Sun, 21 Mar 2021 23:11:36 GMT	17.40	49.70
Sun, 21 Mar 2021 23:11:46 GMT	17.40	60.90
Sun, 21 Mar 2021 23:11:56 GMT	17.40	55.10
Sun, 21 Mar 2021 23:12:06 GMT	17.40	64.10
Sun, 21 Mar 2021 23:12:16 GMT	17.40	62.30
Sun, 21 Mar 2021 23:12:26 GMT	17.40	64.30
Sun, 21 Mar 2021 23:12:36 GMT	17.40	58.40
Sun, 21 Mar 2021 23:12:46 GMT	17.40	60.00
Sun, 21 Mar 2021 23:12:56 GMT	17.40	66.60
Sun, 21 Mar 2021 23:13:06 GMT	17.40	65.70
Sun, 21 Mar 2021 23:13:16 GMT	17.40	65.90
Sun, 21 Mar 2021 23:13:26 GMT	17.40	59.60
Sun, 21 Mar 2021 23:13:36 GMT	17.40	49.40
Sun, 21 Mar 2021 23:13:46 GMT	17.40	47.70
Sun, 21 Mar 2021 23:13:56 GMT	17.30	53.70
Sun, 21 Mar 2021 23:14:06 GMT	17.30	56.90
Sun, 21 Mar 2021 23:14:16 GMT	17.40	44.00
Sun, 21 Mar 2021 23:14:26 GMT	17.30	45.30
Sun, 21 Mar 2021 23:14:36 GMT	17.30	50.50
 Sun, 21 Mar 2021 23:20:46 GMT	17.20	66.20
Sun, 21 Mar 2021 23:20:56 GMT	17.10	58.90
Sun, 21 Mar 2021 23:21:06 GMT	17.20	63.30
Sun, 21 Mar 2021 23:21:16 GMT	17.20	74.80
Sun, 21 Mar 2021 23:21:26 GMT	17.10	68.80
Sun, 21 Mar 2021 23:21:36 GMT	17.10	55.80
Sun, 21 Mar 2021 23:21:46 GMT	17.10	74.20
Sun, 21 Mar 2021 23:21:56 GMT	17.10	59.30
Sun, 21 Mar 2021 23:22:06 GMT	17.10	70.80
Sun, 21 Mar 2021 23:22:16 GMT	17.10	77.00
Sun, 21 Mar 2021 23:22:26 GMT	17.10	77.20
Sun, 21 Mar 2021 23:22:36 GMT	17.10	62.50
Sun, 21 Mar 2021 23:22:46 GMT	17.10	62.20
Sun, 21 Mar 2021 23:22:56 GMT	17.10	76.60
Sun, 21 Mar 2021 23:23:06 GMT	17.10	62.90
Sun, 21 Mar 2021 23:23:16 GMT	17.10	77.50
Sun, 21 Mar 2021 23:23:26 GMT	17.10	78.50
Sun, 21 Mar 2021 23:23:36 GMT	17.10	63.90
Sun, 21 Mar 2021 23:23:46 GMT	17.10	66.90
Sun, 21 Mar 2021 23:23:56 GMT	17.20	64.70
Sun, 21 Mar 2021 23:24:06 GMT	17.10	75.30
Sun, 21 Mar 2021 23:24:16 GMT	17.10	75.20
Sun, 21 Mar 2021 23:24:26 GMT	17.10	81.60
Sun, 21 Mar 2021 23:24:36 GMT	17.10	82.60
Sun, 21 Mar 2021 23:24:46 GMT	17.20	83.30
Sun, 21 Mar 2021 23:24:56 GMT	17.20	81.60
Sun, 21 Mar 2021 23:25:06 GMT	17.10	62.70
Sun, 21 Mar 2021 23:25:16 GMT	17.10	68.40
Sun, 21 Mar 2021 23:25:26 GMT	17.10	61.80
Sun, 21 Mar 2021 23:25:36 GMT	17.10	69.10
Sun, 21 Mar 2021 23:25:46 GMT	17.10	68.40
Sun, 21 Mar 2021 23:25:56 GMT	17.10	72.10
Sun, 21 Mar 2021 23:26:06 GMT	17.10	80.60
Sun, 21 Mar 2021 23:26:16 GMT	17.20	78.10
Sun, 21 Mar 2021 23:26:26 GMT	17.10	64.30
Sun, 21 Mar 2021 23:26:36 GMT	17.10	71.80
Sun, 21 Mar 2021 23:26:46 GMT	17.10	52.90
Sun, 21 Mar 2021 23:26:56 GMT	17.10	62.00
Sun, 21 Mar 2021 23:27:06 GMT	17.10	53.60
Sun, 21 Mar 2021 23:27:16 GMT	17.10	79.50
Sun, 21 Mar 2021 23:27:26 GMT	17.10	68.00
Sun, 21 Mar 2021 23:27:36 GMT	17.10	71.00
Sun, 21 Mar 2021 23:27:46 GMT	17.10	70.40
Sun, 21 Mar 2021 23:27:56 GMT	17.10	80.80
Sun, 21 Mar 2021 23:28:06 GMT	17.10	79.30
Sun, 21 Mar 2021 23:28:16 GMT	17.10	81.50
Sun, 21 Mar 2021 23:28:26 GMT	17.10	83.70
Sun, 21 Mar 2021 23:28:36 GMT	17.10	74.50
Sun, 21 Mar 2021 23:28:46 GMT	17.10	75.20
Sun, 21 Mar 2021 23:28:56 GMT	17.10	82.20
Sun, 21 Mar 2021 23:29:06 GMT	17.10	81.70
Sun, 21 Mar 2021 23:29:16 GMT	17.10	81.50
Sun, 21 Mar 2021 23:29:26 GMT	17.10	84.10
Sun, 21 Mar 2021 23:29:36 GMT	17.10	85.50
 Sun, 21 Mar 2021 23:29:46 GMT	17.10	63.80
Sun, 21 Mar 2021 23:29:56 GMT	17.10	54.80
Sun, 21 Mar 2021 23:30:06 GMT	17.10	74.60
Sun, 21 Mar 2021 23:30:16 GMT	17.10	76.30
Sun, 21 Mar 2021 23:30:26 GMT	17.10	71.40
Sun, 21 Mar 2021 23:30:36 GMT	17.10	82.00
Sun, 21 Mar 2021 23:30:46 GMT	17.10	81.20
Sun, 21 Mar 2021 23:30:56 GMT	17.10	73.50
Sun, 21 Mar 2021 23:31:06 GMT	17.10	81.30
Sun, 21 Mar 2021 23:31:16 GMT	17.10	55.80
Sun, 21 Mar 2021 23:31:26 GMT	17.10	54.80
Sun, 21 Mar 2021 23:31:36 GMT	17.10	50.40
Sun, 21 Mar 2021 23:31:46 GMT	17.10	75.70
Sun, 21 Mar 2021 23:31:56 GMT	17.10	79.70
Sun, 21 Mar 2021 23:32:06 GMT	17.10	58.00
Sun, 21 Mar 2021 23:32:16 GMT	17.10	71.40
Sun, 21 Mar 2021 23:32:26 GMT	17.10	83.00
Sun, 21 Mar 2021 23:32:36 GMT	17.10	73.30
Sun, 21 Mar 2021 23:32:46 GMT	17.10	83.30
Sun, 21 Mar 2021 23:32:56 GMT	17.10	79.40
Sun, 21 Mar 2021 23:33:06 GMT	17.10	87.00
Sun, 21 Mar 2021 23:33:16 GMT	17.10	68.80
Sun, 21 Mar 2021 23:33:26 GMT	17.10	51.70
Sun, 21 Mar 2021 23:33:36 GMT	17.10	68.00
Sun, 21 Mar 2021 23:33:46 GMT	17.10	76.50
Sun, 21 Mar 2021 23:33:56 GMT	17.10	78.40
Sun, 21 Mar 2021 23:34:06 GMT	17.00	64.50
Sun, 21 Mar 2021 23:34:16 GMT	17.00	63.20
Sun, 21 Mar 2021 23:34:26 GMT	17.10	70.60
Sun, 21 Mar 2021 23:34:36 GMT	17.10	61.70
Sun, 21 Mar 2021 23:34:46 GMT	17.00	79.00
Sun, 21 Mar 2021 23:34:56 GMT	17.10	76.60
Sun, 21 Mar 2021 23:35:06 GMT	17.00	69.60
Sun, 21 Mar 2021 23:35:16 GMT	17.10	63.70
Sun, 21 Mar 2021 23:35:26 GMT	17.00	69.00
Sun, 21 Mar 2021 23:35:36 GMT	17.00	60.00
Sun, 21 Mar 2021 23:35:46 GMT	17.10	78.40
Sun, 21 Mar 2021 23:35:56 GMT	17.00	77.00
Sun, 21 Mar 2021 23:36:06 GMT	17.00	63.50
Sun, 21 Mar 2021 23:36:16 GMT	17.00	74.70
Sun, 21 Mar 2021 23:36:26 GMT	17.00	79.80
Sun, 21 Mar 2021 23:36:36 GMT	17.00	77.60
Sun, 21 Mar 2021 23:36:46 GMT	17.00	71.90
Sun, 21 Mar 2021 23:36:56 GMT	17.00	70.30
Sun, 21 Mar 2021 23:37:06 GMT	17.00	70.70
Sun, 21 Mar 2021 23:37:16 GMT	17.10	69.50
Sun, 21 Mar 2021 23:37:26 GMT	17.10	68.50
Sun, 21 Mar 2021 23:37:36 GMT	17.10	73.70
Sun, 21 Mar 2021 23:37:46 GMT	17.10	74.70
Sun, 21 Mar 2021 23:37:56 GMT	17.10	75.90
Sun, 21 Mar 2021 23:38:06 GMT	17.10	77.10
Sun, 21 Mar 2021 23:38:16 GMT	17.10	77.60
Sun, 21 Mar 2021 23:38:26 GMT	17.10	77.30
Sun, 21 Mar 2021 23:38:36 GMT	17.10	76.10
Sun, 21 Mar 2021 23:38:46 GMT	17.10	75.40
Sun, 21 Mar 2021 23:38:56 GMT	17.20	75.20
Sun, 21 Mar 2021 23:39:06 GMT	17.20	75.40
Sun, 21 Mar 2021 23:39:16 GMT	17.20	75.30
Sun, 21 Mar 2021 23:39:26 GMT	17.20	74.90
Sun, 21 Mar 2021 23:39:36 GMT	17.20	74.50
Sun, 21 Mar 2021 23:39:46 GMT	17.20	73.80
Sun, 21 Mar 2021 23:39:56 GMT	17.20	73.40
Sun, 21 Mar 2021 23:40:06 GMT	17.20	73.40
Sun, 21 Mar 2021 23:40:16 GMT	17.20	73.20
Sun, 21 Mar 2021 23:40:26 GMT	17.20	72.60
Sun, 21 Mar 2021 23:40:36 GMT	17.20	72.00
Sun, 21 Mar 2021 23:40:46 GMT	17.20	71.80
Sun, 21 Mar 2021 23:40:56 GMT	17.20	71.70
Sun, 21 Mar 2021 23:41:06 GMT	17.20	71.70
Sun, 21 Mar 2021 23:41:16 GMT	17.20	71.70
Sun, 21 Mar 2021 23:41:26 GMT	17.20	71.10
Sun, 21 Mar 2021 23:41:36 GMT	17.20	70.10
Sun, 21 Mar 2021 23:41:46 GMT	17.30	68.90
Sun, 21 Mar 2021 23:41:56 GMT	17.30	67.90
Sun, 21 Mar 2021 23:42:06 GMT	17.30	67.30
Sun, 21 Mar 2021 23:42:16 GMT	17.30	66.80
Sun, 21 Mar 2021 23:42:26 GMT	17.30	67.40
Sun, 21 Mar 2021 23:42:36 GMT	17.30	67.80
Sun, 21 Mar 2021 23:42:46 GMT	17.30	67.90
Sun, 21 Mar 2021 23:42:56 GMT	17.30	67.10
Sun, 21 Mar 2021 23:43:06 GMT	17.30	65.90
Sun, 21 Mar 2021 23:43:16 GMT	17.30	64.90
Sun, 21 Mar 2021 23:43:26 GMT	17.30	65.50
Sun, 21 Mar 2021 23:43:36 GMT	17.30	66.00
Sun, 21 Mar 2021 23:43:46 GMT	17.40	65.30
Sun, 21 Mar 2021 23:43:56 GMT	17.40	64.80
Sun, 21 Mar 2021 23:44:06 GMT	17.40	64.90
Sun, 21 Mar 2021 23:44:16 GMT	17.40	64.70
Sun, 21 Mar 2021 23:44:26 GMT	17.40	64.60
Sun, 21 Mar 2021 23:44:36 GMT	17.40	64.10
 Sun, 21 Mar 2021 23:44:46 GMT	17.40	63.60
Sun, 21 Mar 2021 23:44:56 GMT	17.40	63.00
Sun, 21 Mar 2021 23:45:06 GMT	17.40	62.30
Sun, 21 Mar 2021 23:45:16 GMT	17.40	62.00
Sun, 21 Mar 2021 23:45:26 GMT	17.40	61.80
Sun, 21 Mar 2021 23:45:36 GMT	17.40	62.60
Sun, 21 Mar 2021 23:45:46 GMT	17.40	62.60
Sun, 21 Mar 2021 23:45:56 GMT	17.40	62.50
Sun, 21 Mar 2021 23:46:06 GMT	17.40	62.50
Sun, 21 Mar 2021 23:46:16 GMT	17.40	62.50
Sun, 21 Mar 2021 23:46:26 GMT	17.50	63.40
Sun, 21 Mar 2021 23:46:36 GMT	17.50	63.40
Sun, 21 Mar 2021 23:46:46 GMT	17.50	63.60
Sun, 21 Mar 2021 23:46:56 GMT	17.50	64.10
Sun, 21 Mar 2021 23:47:06 GMT	17.50	63.70
Sun, 21 Mar 2021 23:47:16 GMT	17.50	62.60
Sun, 21 Mar 2021 23:47:26 GMT	17.50	61.90
Sun, 21 Mar 2021 23:47:36 GMT	17.50	61.70
Sun, 21 Mar 2021 23:47:46 GMT	17.50	61.70
Sun, 21 Mar 2021 23:47:56 GMT	17.50	62.60
Sun, 21 Mar 2021 23:48:06 GMT	17.50	63.00
Sun, 21 Mar 2021 23:48:16 GMT	17.50	63.40
Sun, 21 Mar 2021 23:48:26 GMT	17.50	63.70
Sun, 21 Mar 2021 23:48:36 GMT	17.50	63.40
Sun, 21 Mar 2021 23:48:46 GMT	17.50	62.40
Sun, 21 Mar 2021 23:48:56 GMT	17.50	62.00
Sun, 21 Mar 2021 23:49:06 GMT	17.60	58.60
Sun, 21 Mar 2021 23:49:16 GMT	17.50	79.00
Sun, 21 Mar 2021 23:49:26 GMT	17.60	82.70
Sun, 21 Mar 2021 23:49:36 GMT	17.50	58.80
Sun, 21 Mar 2021 23:49:46 GMT	17.50	65.30
Sun, 21 Mar 2021 23:49:56 GMT	17.50	61.50
Sun, 21 Mar 2021 23:50:06 GMT	17.50	78.80
Sun, 21 Mar 2021 23:50:16 GMT	17.50	85.20
Sun, 21 Mar 2021 23:50:26 GMT	17.50	79.10
Sun, 21 Mar 2021 23:50:36 GMT	17.50	64.90
Sun, 21 Mar 2021 23:50:46 GMT	17.40	57.20
Sun, 21 Mar 2021 23:50:56 GMT	17.40	77.60
Sun, 21 Mar 2021 23:51:06 GMT	17.40	69.60
Sun, 21 Mar 2021 23:51:16 GMT	17.40	78.70
Sun, 21 Mar 2021 23:51:26 GMT	17.40	80.40
Sun, 21 Mar 2021 23:51:36 GMT	17.40	79.10
Sun, 21 Mar 2021 23:51:46 GMT	17.40	58.30
Sun, 21 Mar 2021 23:51:56 GMT	17.40	81.10
Sun, 21 Mar 2021 23:52:06 GMT	17.30	68.30
Sun, 21 Mar 2021 23:52:16 GMT	17.30	79.70
Sun, 21 Mar 2021 23:52:26 GMT	17.30	83.30
Sun, 21 Mar 2021 23:52:36 GMT	17.30	77.50
Sun, 21 Mar 2021 23:52:46 GMT	17.30	82.00
Sun, 21 Mar 2021 23:52:56 GMT	17.30	70.40
Sun, 21 Mar 2021 23:53:06 GMT	17.20	64.30
Sun, 21 Mar 2021 23:53:16 GMT	17.30	83.80
Sun, 21 Mar 2021 23:53:26 GMT	17.20	75.10
Sun, 21 Mar 2021 23:53:36 GMT	17.20	71.50
Sun, 21 Mar 2021 23:53:46 GMT	17.30	78.90
Sun, 21 Mar 2021 23:53:56 GMT	17.20	71.40
Sun, 21 Mar 2021 23:54:06 GMT	17.20	83.30
Sun, 21 Mar 2021 23:54:16 GMT	17.20	86.70
Sun, 21 Mar 2021 23:54:26 GMT	17.20	82.00
Sun, 21 Mar 2021 23:54:36 GMT	17.20	60.90
Sun, 21 Mar 2021 23:54:46 GMT	17.20	82.10
Sun, 21 Mar 2021 23:54:56 GMT	17.20	85.40
Sun, 21 Mar 2021 23:55:06 GMT	17.20	81.40
Sun, 21 Mar 2021 23:55:16 GMT	17.20	80.70
Sun, 21 Mar 2021 23:55:26 GMT	17.20	85.60
Sun, 21 Mar 2021 23:55:36 GMT	17.20	85.60
Sun, 21 Mar 2021 23:55:46 GMT	17.20	86.80
Sun, 21 Mar 2021 23:55:56 GMT	17.20	87.00
Sun, 21 Mar 2021 23:56:06 GMT	17.20	87.80
Sun, 21 Mar 2021 23:56:16 GMT	17.20	87.70
Sun, 21 Mar 2021 23:56:26 GMT	17.20	87.60
Sun, 21 Mar 2021 23:56:36 GMT	17.20	86.90
Sun, 21 Mar 2021 23:56:46 GMT	17.20	87.80
Sun, 21 Mar 2021 23:56:56 GMT	17.20	88.40
Sun, 21 Mar 2021 23:57:06 GMT	17.20	88.70
Sun, 21 Mar 2021 23:57:16 GMT	17.20	88.60
Sun, 21 Mar 2021 23:57:26 GMT	17.20	88.90
Sun, 21 Mar 2021 23:57:36 GMT	17.20	88.80
Sun, 21 Mar 2021 23:57:46 GMT	17.20	89.00
Sun, 21 Mar 2021 23:57:56 GMT	17.20	88.90
Sun, 21 Mar 2021 23:58:06 GMT	17.20	88.80
Sun, 21 Mar 2021 23:58:16 GMT	17.20	88.90
Sun, 21 Mar 2021 23:58:26 GMT	17.20	88.90
Sun, 21 Mar 2021 23:58:36 GMT	17.20	88.90
Sun, 21 Mar 2021 23:58:46 GMT	17.20	88.80
Sun, 21 Mar 2021 23:58:56 GMT	17.20	89.00
Sun, 21 Mar 2021 23:59:06 GMT	17.20	89.00
Sun, 21 Mar 2021 23:59:16 GMT	17.20	89.00
Sun, 21 Mar 2021 23:59:26 GMT	17.20	89.10
Sun, 21 Mar 2021 23:59:36 GMT	17.20	89.00
 Sun, 21 Mar 2021 23:59:46 GMT	17.20	89.10
Sun, 21 Mar 2021 23:59:56 GMT	17.20	89.00
Mon, 22 Mar 2021 00:00:06 GMT	17.30	89.00
Mon, 22 Mar 2021 00:00:16 GMT	17.30	88.80
Mon, 22 Mar 2021 00:00:26 GMT	17.30	88.70
Mon, 22 Mar 2021 00:00:36 GMT	17.30	88.70
Mon, 22 Mar 2021 00:00:46 GMT	17.30	88.80
Mon, 22 Mar 2021 00:00:56 GMT	17.30	88.90
Mon, 22 Mar 2021 00:01:06 GMT	17.30	88.90
Mon, 22 Mar 2021 00:01:16 GMT	17.30	89.00
Mon, 22 Mar 2021 00:01:26 GMT	17.30	89.00
Mon, 22 Mar 2021 00:01:36 GMT	17.30	88.90
Mon, 22 Mar 2021 00:01:46 GMT	17.30	88.90
Mon, 22 Mar 2021 00:01:56 GMT	17.30	88.90
Mon, 22 Mar 2021 00:02:06 GMT	17.30	88.90
Mon, 22 Mar 2021 00:02:16 GMT	17.30	88.90
Mon, 22 Mar 2021 00:02:26 GMT	17.30	88.90
Mon, 22 Mar 2021 00:02:36 GMT	17.30	88.70
Mon, 22 Mar 2021 00:02:46 GMT	17.30	88.30
Mon, 22 Mar 2021 00:02:56 GMT	17.30	88.30
Mon, 22 Mar 2021 00:03:06 GMT	17.30	88.30
Mon, 22 Mar 2021 00:03:16 GMT	17.30	88.30
Mon, 22 Mar 2021 00:03:26 GMT	17.30	88.30
Mon, 22 Mar 2021 00:03:36 GMT	17.30	88.30
Mon, 22 Mar 2021 00:03:46 GMT	17.30	88.30
Mon, 22 Mar 2021 00:03:56 GMT	17.30	88.20
Mon, 22 Mar 2021 00:04:06 GMT	17.30	88.20
Mon, 22 Mar 2021 00:04:16 GMT	17.30	88.20
Mon, 22 Mar 2021 00:04:26 GMT	17.40	88.20
Mon, 22 Mar 2021 00:04:36 GMT	17.40	88.10
Mon, 22 Mar 2021 00:04:46 GMT	17.40	88.00
Mon, 22 Mar 2021 00:04:56 GMT	17.30	87.90
Mon, 22 Mar 2021 00:05:06 GMT	17.40	88.00
Mon, 22 Mar 2021 00:05:16 GMT	17.30	88.10
Mon, 22 Mar 2021 00:05:26 GMT	17.40	88.10
Mon, 22 Mar 2021 00:05:36 GMT	17.40	88.00
Mon, 22 Mar 2021 00:05:46 GMT	17.40	88.00
Mon, 22 Mar 2021 00:05:56 GMT	17.40	88.00
Mon, 22 Mar 2021 00:06:06 GMT	17.40	88.10
Mon, 22 Mar 2021 00:06:16 GMT	17.40	88.10
Mon, 22 Mar 2021 00:06:26 GMT	17.40	88.00
Mon, 22 Mar 2021 00:06:36 GMT	17.40	88.00
Mon, 22 Mar 2021 00:06:46 GMT	17.40	88.00
Mon, 22 Mar 2021 00:06:56 GMT	17.40	88.10
Mon, 22 Mar 2021 00:07:06 GMT	17.40	88.10
Mon, 22 Mar 2021 00:07:16 GMT	17.40	88.10
Mon, 22 Mar 2021 00:07:26 GMT	17.40	88.20
Mon, 22 Mar 2021 00:07:36 GMT	17.40	88.40
Mon, 22 Mar 2021 00:07:46 GMT	17.40	88.50
Mon, 22 Mar 2021 00:07:56 GMT	17.40	88.60
Mon, 22 Mar 2021 00:08:06 GMT	17.40	88.80
Mon, 22 Mar 2021 00:08:16 GMT	17.40	88.80
Mon, 22 Mar 2021 00:08:26 GMT	17.40	88.90
Mon, 22 Mar 2021 00:08:36 GMT	17.40	88.90
Mon, 22 Mar 2021 00:08:46 GMT	17.40	88.90
Mon, 22 Mar 2021 00:08:56 GMT	17.40	89.00
Mon, 22 Mar 2021 00:09:06 GMT	17.40	89.10
Mon, 22 Mar 2021 00:09:16 GMT	17.40	89.10
